Date,Price,Day,30D
2026-07-01,620.46,-,-
2026-07-02,592.29,▼28.17(-4.54%),-
2026-07-06,604.3,▲12.01(+2.03%),-
2026-07-07,581.45,▼22.85(-3.78%),-
2026-07-08,593.0,▲11.55(+1.99%),-
2026-07-09,607.73,▲14.73(+2.48%),-
2026-07-10,611.03,▲3.30(+0.54%),-
2026-07-13,585.62,▼25.41(-4.16%),-
2026-07-14,600.31,▲14.69(+2.51%),-
2026-07-15,590.77,▼9.54(-1.59%),-
2026-07-16,568.92,▼21.85(-3.70%),-
2026-07-17,556.53,▼12.39(-2.18%),-
2026-07-20,558.83,▲2.30(+0.41%),-
2026-07-21,584.08,▲25.25(+4.52%),-
2026-07-22,586.91,▲2.83(+0.48%),-
2026-07-23,580.17,▼6.74(-1.15%),-
2026-07-24,561.19,▼18.98(-3.27%),-
2026-07-27,548.55,▼12.64(-2.25%),-
2026-07-28,529.6,▼18.95(-3.45%),-
2026-07-29,504.22,▼25.38(-4.79%),-
2026-07-30,538.9,▲34.68(+6.88%),-
2026-07-31,540.53,▲1.63(+0.30%),-
2026-08-03,545.46,▲4.93(+0.91%),-
2026-08-04,575.71,▲30.25(+5.55%),-
2026-08-05,569.7,▼6.01(-1.04%),-
2026-08-06,571.48,▲1.78(+0.31%),-
2026-08-07,582.7,▲11.22(+1.96%),-
2026-08-10,580.42,▼2.28(-0.39%),-
